date,bank,stock,items_inventory,items_bank,total,xp,stock_pl
19.4.16 0:00,210427,294108,189341,23865,724394,12294,0
20.4.16 0:00,210771,279525,189922,26819,710992,12448,0
21.4.16 0:00,211104,313813,188799,26699,749623,12482,0
22.4.16 0:00,170437,287651,189167,27082,675284,12604,0
23.4.16 0:00,170764,283226,190050,27632,675973,12654,0
24.4.16 0:00,171418,273959,188966,27632,664820,12735,0
25.4.16 0:00,171418,284292,189512,27632,683218,12821,0
26.4.16 0:00,171745,255560,189450,27648,652166,12886,0
27.4.16 0:00,172399,251892,189450,27648,655568,12889,0
28.4.16 0:00,182726,261965,189452,27648,662495,12916,0
1.5.16 0:00,183707,241588,189217,27648,642706,12736,0
2.5.16 0:00,183707,237329,184417,27648,639527,12736,0
10.5.16 0:00,186650,261802,204818,27648,687848,12748,0
12.5.16 0:00,216977,252972,187220,27648,687141,12760,0
13.5.16 0:00,217631,274400,184340,27648,718333,12824,0
14.5.16 0:00,217631,274400,184340,27648,718333,12831,0
21.5.16 0:00,248148,245433,184243,27648,710524,12935,0
22.5.16 0:00,248802,241428,184254,27648,707989,12957,0
29.5.16 0:00,251091,247288,198024,27648,738034,13026,0
5.6.16 0:00,251745,230091,184386,27648,726446,13062,0
6.6.16 0:00,284380,255815,187392,27648,768141,13165,0
7.6.16 0:00,284707,272317,184592,27648,782644,13173,0
9.6.16 0:00,276472,251111,189653,27648,750666,13272,0
13.6.16 0:00,286780,287032,189609,27648,799929,13470,0
16.6.16 0:00,292785,261020,189930,27648,782895,13574,0
19.6.16 0:00,298732,277191,189379,27648,797759,13742,0
28.6.16 0:00,284071,276248,193289,25036,790269,14056,0
30.6.16 0:00,278413,231050,190348,25036,727534,13898,0
3.7.16 0:00,293798,300523,190330,25391,810042,13777,0
4.7.16 0:00,285231,284320,190431,25391,793180,13820,0
7.7.16 0:00,279230,308780,194011,25391,808073,13685,0
7.8.16 0:00,324563,335844,193009,24826,885327,13879,0
12.8.16 0:00,327283,315884,189119,24726,858354,13927,0
14.4.17 0:00,239864,173280,231996,25726,682724,15658,0
16.5.17 0:00,251183,200320,280596,25726,769980,15661,0
17.5.17 0:00,377263,198400,187596,25726,788985,15661,0
6.6.17 0:00,399123,153600,209610,25726,788809,15665,0
9.6.17 0:00,400495,170240,216810,25726,814021,15665,0
10.6.17 0:00,435495,176320,187610,25726,828409,15666,0
15.6.17 0:00,437210,187520,192810,25726,848616,15667,0
28.6.17 0:00,441669,195840,197410,25726,864155,15667,0
2.7.17 0:00,462541,185920,187561,25726,864722,15673,0
3.7.17 0:00,452541,186560,187791,25726,857503,15694,0
5.7.17 0:00,453570,178880,192370,25726,855527,15697,0
8.7.17 0:00,468599,135360,187720,25726,819915,15710,0
9.7.17 0:00,468599,130560,187647,25726,815814,15731,0
11.7.17 0:00,469628,144640,188086,25726,840713,15783,0
15.7.17 0:00,489000,193280,188096,25726,901333,15847,0
17.7.17 0:00,500686,194880,188096,25726,912228,15871,0
23.7.17 0:00,502736,206080,187549,26356,947034,15935,0
5.8.17 0:00,547143,180670,188197,25696,946225,16066,0
6.8.17 0:00,547487,134270,190887,25696,904329,16089,0
12.8.17 0:00,549545,111070,188571,26336,898573,16151,0
15.8.17 0:00,580574,170230,188781,26336,968020,16158,0
17.8.17 0:00,591260,136010,188992,26336,944736,16184,206360
4.11.17 0:00,738789,180320,196916,26686,1146459,16937,206360
19.11.17 15:00,693867,130760,189914,25746,1058248,17830,206360
19.11.17 23:30,673867,151200,189912,25746,1057766,18015,206360
19.11.17 23:45,673867,149800,189912,25746,1056389,18015,206360
20.11.17 13:45,674210,133280,189912,25746,1040729,18023,206360
20.11.17 14:15,639210,134400,189884,25746,1006630,18346,206360
25.11.17 15:30,640923,132160,190572,25746,1000280,18661,206360
25.11.17 16:15,640923,131040,190522,25746,997760,18669,206360
26.11.17 23:00,641266,155120,190522,25746,1022610,18670,206360
26.11.17 23:15,641266,155120,190472,25746,1027586,18689,206360
26.11.17 23:30,641266,154560,190473,25746,1020979,18742,206360
1.12.17 16:00,642981,130480,190523,25746,996351,18747,206360
1.12.17 16:30,642981,130480,189824,25756,995639,18656,206360
2.12.17 13:30,643324,116480,189824,25746,982020,18657,206360
2.12.17 14:00,628324,116760,189922,25746,971274,18737,206360
3.12.17 19:15,628667,152040,190073,26066,1009179,18864,206360
4.12.17 11:15,629010,129360,190073,26066,986912,18864,206360
4.12.17 11:30,629010,129640,190074,26066,988015,18681,206360
2.3.18 16:30,564782,194700,194700,26066,1015468,21003,206360
8.4.18 21:30,590828,133650,190040,25746,952796,21274,203500
6.5.18 19:45,480432,199100,194540,26066,900669,22467,203500
19.8.19 11:30,493004,46230,201142,25746,772032,26414,203500
5.9.19 22:30,520463,43746,196899,25746,788840,26469,203500
14.10.19 19:30,562212,44310,192098,25746,849565,26485,203500
15.10.19 20:00,564212,44310,192528,25746,831710,26573,203500
24.11.19 19:30,210831,58940,194988,25714,499031,31099,203500
1.12.19 15:00,56,74060,261996,21996,370500,31576,203500
1.12.19 15:15,56,37300,261996,21996,351432,31576,142100
8.12.19 13:00,14808,50800,186897,21026,280275,32176,142100
8.12.19 0:00,120008,51100,160113,22026,439997,32111,142100
10.12.19 0:00,110702,55300,160777,22026,353744,32714,142100
8.11.20 14:30,137155,0,208321,25940,373921,55144,0
30.12.20 22:30,34846,0,206065,26099,268499,55928,0
3.1.21 23:45,45195,0,203615,26699,281758,56071,0
8.1.21 22:00,55667,0,203493,26698,301881,56153,0
12.1.21 0:15,70666,0,203887,25990,308015,56198,0
17.1.21 23:30,22334,0,205008,25940,253878,56374,0
24.1.21 22:30,42199,0,184306,25940,254413,56492,0
28.1.21 23:30,10569,0,185031,26240,225395,56625,0
3.2.21 14:30,6500,0,185310,49430,243747,56783,0
14.2.21 17:30,33527,0,188397,50890,275303,57035,0
15.2.21 0:00,42318,0,188460,50890,283597,57140,0
19.2.21 19:00,57698,0,185157,26240,270867,57296,0
15.3.21 10:30,31550,0,186160,26360,245116,58305,0
17.3.21 0:00,41389,0,186078,26385,254766,58380,0
23.3.21 12:00,52861,0,187428,46465,288822,58522,0
10.4.21 20:15,53573,0,189837,46935,292454,59225,0
20.4.21 14:45,29686,0,185876,46210,265891,59814,0
24.4.21 18:00,47910,0,165935,16210,241855,60151,0
24.04.21 20:13,47910,0,165935,26210,242540,60151,0
25.04.21 20:06,48252,0,166490,26210,244452,60238,0
26.04.21 12:04,48594,0,166027,26210,244176,60243,0
26.04.21 12:11,50094,0,166188,26210,244163,60311,0
26.04.21 23:46,54094,0,165432,26210,248495,60338,0
27.04.21 14:19,54436,0,165442,26210,249957,60338,0
27.04.21 14:36,54436,0,167201,26210,251457,60346,0
27.04.21 15:53,54436,0,165421,26210,251886,60348,0
27.04.21 18:56,57436,0,166021,25960,253440,60355,0
27.04.21 21:36,57436,0,166421,25960,253905,60355,0
27.04.21 21:45,57436,0,165975,25960,250902,60388,0
28.04.21 12:31,57780,0,165975,25960,251246,60388,0
28.04.21 12:49,57780,0,167599,25960,253977,60435,0
28.04.21 22:38,61780,0,168434,25960,261249,60464,0
29.04.21 10:23,66124,0,166405,25960,260561,60475,0
29.04.21 10:28,66124,0,167806,25960,261178,60519,0
29.04.21 17:30,66124,0,169918,66440,304834,60524,0
30.04.21 13:53,69454,0,166379,66440,304962,60600,0
30.04.21 17:18,69454,0,167139,66440,306079,60609,0
02.05.21 18:33,70105,0,168269,66740,310035,60610,0
02.05.21 19:10,119105,0,167672,25960,314772,60691,0
03.05.21 13:04,119449,0,167937,25960,319422,60743,0
04.05.21 11:22,125793,0,169555,25960,323993,60850,0
04.05.21 22:10,125793,0,165878,25960,328302,60877,0
07.05.21 16:09,144825,0,166520,25960,340712,60958,0
08.05.21 23:28,151169,0,166044,26650,345191,61131,0
09.05.21 15:49,151494,0,166599,26650,350780,61173,0
10.05.21 13:03,151819,0,169110,26650,354546,61188,0
10.05.21 16:54,157819,0,166500,26650,353520,61193,0
13.05.21 19:03,166793,0,166141,46660,381588,61210,0
13.05.21 22:30,166793,0,166545,46660,383089,61309,0
15.05.21 16:12,167441,0,169264,46660,390283,61432,0
15.05.21 16:13,175441,0,166284,46660,391028,61435,0
16.05.21 20:59,180765,0,166424,46660,396604,61522,0
17.05.21 17:52,181089,0,168418,46660,398680,61536,0
18.05.21 20:24,190413,0,165647,46860,405627,61695,0
19.05.21 11:51,187736,0,165968,46860,403022,61727,0
19.05.21 16:36,187736,0,165606,46860,404695,61771,0
19.05.21 22:01,190736,0,166602,46860,408457,61821,0
20.05.21 22:30,198059,0,166203,46870,411159,61854,0
21.05.21 21:49,192381,0,169083,46870,412102,62099,0
22.05.21 22:26,201203,0,167033,47120,416947,62182,0
